n       Selection       Insertion       Merge           Heap            Quick           Counting
2000    0.054431        0.049627        0.003291        0.000474        0.001627        0.000698
4000    0.222293        0.203635        0.007119        0.000966        0.003634        0.001659
6000    0.499742        0.450264        0.011034        0.001465        0.005652        0.002600
8000    0.886544        0.800899        0.015063        0.001911        0.007524        0.003393
10000   1.405431        1.262237        0.019481        0.002402        0.010068        0.004379
12000   2.040065        1.832178        0.023764        0.002895        0.011978        0.005514
14000   2.789841        2.533294        0.027974        0.003404        0.014509        0.006131
16000   3.617994        3.335597        0.032399        0.003918        0.017309        0.006910
18000   4.637029        4.261398        0.037230        0.004369        0.019096        0.008559
20000   5.741525        5.296055        0.041456        0.004889        0.021947        0.008995
