n       Selection       Insertion       Merge           Heap            Quick           Counting
2000    0.005985        0.000013        0.000295        0.000050        0.013555        0.000064
4000    0.023795        0.000028        0.000666        0.000104        0.055420        0.000156
6000    0.053911        0.000041        0.001036        0.000154        0.125143        0.000220
8000    0.095367        0.000055        0.001384        0.000207        0.224585        0.000303
10000   0.153525        0.000076        0.001788        0.000261        0.356052        0.000396
12000   0.226021        0.000094        0.002199        0.000313        0.521397        0.000451
14000   0.312286        0.000096        0.002610        0.000375        0.715222        0.000560
16000   0.413887        0.000112        0.002967        0.000418        0.943251        0.000643
18000   0.532182        0.000130        0.003394        0.000485        1.204525        0.000718
20000   0.666057        0.000141        0.003733        0.000524        1.493694        0.000808
