n       Selection       Insertion       Merge           Heap            Quick           Counting
2000    0.005638        0.009554        0.000298        0.000043        0.008797        0.000067
4000    0.022774        0.039368        0.000654        0.000089        0.035729        0.000146
6000    0.052166        0.090652        0.001017        0.000133        0.081051        0.000245
8000    0.091441        0.159490        0.001381        0.000176        0.143336        0.000329
10000   0.146806        0.255299        0.001788        0.000224        0.227564        0.000443
12000   0.214456        0.376938        0.002173        0.000265        0.334462        0.000485
14000   0.293098        0.513042        0.002569        0.000311        0.460584        0.000535
16000   0.386908        0.682645        0.002983        0.000361        0.611667        0.000622
18000   0.494891        0.870071        0.003361        0.000404        0.772035        0.000662
20000   0.618174        1.098515        0.003753        0.000448        0.972366        0.000745
