n       Selection       Insertion       Merge           Heap            Quick           Counting
2000    0.054816        0.011859        0.003184        0.000474        0.003199        0.000687
4000    0.222748        0.049243        0.006957        0.000980        0.007596        0.001598
6000    0.498696        0.106968        0.010669        0.001444        0.010443        0.002495
8000    0.887197        0.186786        0.014738        0.001949        0.014885        0.003291
10000   1.402943        0.298595        0.018990        0.002422        0.020747        0.004318
12000   2.041326        0.434172        0.023121        0.002987        0.023446        0.005254
14000   2.800967        0.596970        0.027243        0.003436        0.028725        0.005908
16000   3.663757        0.788180        0.031519        0.003950        0.034414        0.006459
18000   4.668581        0.998338        0.036185        0.004460        0.039219        0.007527
20000   5.795244        1.245232        0.040543        0.004947        0.036969        0.008451
