n       vDP             tDP             vGreedy         tGreedy         %
100     2700            0.000868        789             0.000038        29.22
200     12300           0.003691        2076            0.000063        16.88
300     29900           0.008400        4530            0.000084        15.15
400     109600          0.015012        6636            0.000130        6.05
500     235000          0.024144        8791            0.000215        3.74
600     237000          0.034228        11872           0.000165        5.01
700     98000           0.047471        15107           0.000181        15.42
800     204632          0.063521        17270           0.000753        8.44
900     267900          0.080557        21721           0.000257        8.11
1000    306500          0.099652        25288           0.000278        8.25
1100    383338          0.121567        29158           0.000309        7.61
1200    543000          0.145866        33039           0.000332        6.08
1300    806000          0.172196        34311           0.000433        4.26
1400    1681400         0.200040        45692           0.000475        2.72
1500    845250          0.227927        46471           0.000469        5.50
1600    521317          0.261436        50864           0.000490        9.76
1700    674050          0.296515        53860           0.000524        7.99
1800    3177000         0.331494        61423           0.000725        1.93
1900    2129900         0.366824        70308           0.000642        3.30
2000    1962000         0.411025        71941           0.000751        3.67
