[ [RANDOM] ]
n       Selection       Insertion       Merge           Heap            Quick           Counting
------------------------------------------------------------------------------------------------
2000    0.054431        0.049627        0.003291        0.000474        0.001627        0.000698
4000    0.222293        0.203635        0.007119        0.000966        0.003634        0.001659
6000    0.499742        0.450264        0.011034        0.001465        0.005652        0.002600
8000    0.886544        0.800899        0.015063        0.001911        0.007524        0.003393
10000   1.405431        1.262237        0.019481        0.002402        0.010068        0.004379
12000   2.040065        1.832178        0.023764        0.002895        0.011978        0.005514
14000   2.789841        2.533294        0.027974        0.003404        0.014509        0.006131
16000   3.617994        3.335597        0.032399        0.003918        0.017309        0.006910
18000   4.637029        4.261398        0.037230        0.004369        0.019096        0.008559
20000   5.741525        5.296055        0.041456        0.004889        0.021947        0.008995


[ [SORTED] ]
n       Selection       Insertion       Merge           Heap            Quick           Counting
------------------------------------------------------------------------------------------------
2000    0.005985        0.000013        0.000295        0.000050        0.013555        0.000064
4000    0.023795        0.000028        0.000666        0.000104        0.055420        0.000156
6000    0.053911        0.000041        0.001036        0.000154        0.125143        0.000220
8000    0.095367        0.000055        0.001384        0.000207        0.224585        0.000303
10000   0.153525        0.000076        0.001788        0.000261        0.356052        0.000396
12000   0.226021        0.000094        0.002199        0.000313        0.521397        0.000451
14000   0.312286        0.000096        0.002610        0.000375        0.715222        0.000560
16000   0.413887        0.000112        0.002967        0.000418        0.943251        0.000643
18000   0.532182        0.000130        0.003394        0.000485        1.204525        0.000718
20000   0.666057        0.000141        0.003733        0.000524        1.493694        0.000808


[ [REVERSE] ]
n       Selection       Insertion       Merge           Heap            Quick           Counting
------------------------------------------------------------------------------------------------
2000    0.005638        0.009554        0.000298        0.000043        0.008797        0.000067
4000    0.022774        0.039368        0.000654        0.000089        0.035729        0.000146
6000    0.052166        0.090652        0.001017        0.000133        0.081051        0.000245
8000    0.091441        0.159490        0.001381        0.000176        0.143336        0.000329
10000   0.146806        0.255299        0.001788        0.000224        0.227564        0.000443
12000   0.214456        0.376938        0.002173        0.000265        0.334462        0.000485
14000   0.293098        0.513042        0.002569        0.000311        0.460584        0.000535
16000   0.386908        0.682645        0.002983        0.000361        0.611667        0.000622
18000   0.494891        0.870071        0.003361        0.000404        0.772035        0.000662
20000   0.618174        1.098515        0.003753        0.000448        0.972366        0.000745


[ [NEARLY SORTED] ]
n       Selection       Insertion       Merge           Heap            Quick           Counting
------------------------------------------------------------------------------------------------
2000    0.054816        0.011859        0.003184        0.000474        0.003199        0.000687
4000    0.222748        0.049243        0.006957        0.000980        0.007596        0.001598
6000    0.498696        0.106968        0.010669        0.001444        0.010443        0.002495
8000    0.887197        0.186786        0.014738        0.001949        0.014885        0.003291
10000   1.402943        0.298595        0.018990        0.002422        0.020747        0.004318
12000   2.041326        0.434172        0.023121        0.002987        0.023446        0.005254
14000   2.800967        0.596970        0.027243        0.003436        0.028725        0.005908
16000   3.663757        0.788180        0.031519        0.003950        0.034414        0.006459
18000   4.668581        0.998338        0.036185        0.004460        0.039219        0.007527
20000   5.795244        1.245232        0.040543        0.004947        0.036969        0.008451
