n       vDP             tDP             vGreedy         tGreedy         %
------------------------------------------------------------------------------
100     800             0.001039        800             0.000037        100.00
200     1200            0.003533        1200            0.000046        100.00
300     2700            0.008154        2700            0.000067        100.00
400     3200            0.015588        3200            0.000103        100.00
500     4500            0.024056        4500            0.000166        100.00
600     1800            0.034925        1800            0.000125        100.00
700     2800            0.047346        2800            0.000154        100.00
800     8000            0.063227        8000            0.000828        100.00
900     5400            0.081143        5400            0.000205        100.00
1000    6000            0.101009        6000            0.000233        100.00
1100    6600            0.123414        6600            0.000251        100.00
1200    3600            0.147096        3600            0.000269        100.00
1300    3465            0.176011        3465            0.000501        100.00
1400    8400            0.206880        8400            0.000342        100.00
1500    4500            0.237893        4500            0.000300        100.00
1600    11200           0.269418        11200           0.000393        100.00
1700    8500            0.305486        8500            0.000357        100.00
1800    12600           0.339065        12600           0.000424        100.00
1900    11400           0.377438        11400           0.000454        100.00
2000    8000            0.416988        8000            0.000467        100.00
